#id: 2334528786
#name: H.sapiens - Plasma, iBAQ (Pernemalmetal,elife.2019)
#score: 4.2
#description: abundance based on iBAQ, Interaction consistency score: 4.2, Coverage: 11
#organ: PLASMA
#integrated: false
#coverage: 11
#link: http://www.ncbi.nlm.nih.gov/pubmed/30958262
#publication_year: 2019
#filename: 9606-PXD010899_human_plasma.txt
#
#string_external_id	abundance
9606.ENSP00000421801	347
9606.ENSP00000364731	346
9606.ENSP00000303208	345
9606.ENSP00000484331	344
9606.ENSP00000363624	343
9606.ENSP00000363988	334
9606.ENSP00000297325	333
9606.ENSP00000363641	333
9606.ENSP00000302665	332
9606.ENSP00000278282	331
9606.ENSP00000320866	328
9606.ENSP00000323929	326
9606.ENSP00000357726	325
9606.ENSP00000251453	323
9606.ENSP00000399679	323
9606.ENSP00000369654	323
9606.ENSP00000251595	320
9606.ENSP00000326888	315
9606.ENSP00000358777	315
9606.ENSP00000304697	308
9606.ENSP00000318646	307
9606.ENSP00000274353	305
9606.ENSP00000452245	301
9606.ENSP00000378394	300
9606.ENSP00000445175	299
9606.ENSP00000428209	299
9606.ENSP00000392423	295
9606.ENSP00000329797	291
9606.ENSP00000305988	291
9606.ENSP00000330959	289
9606.ENSP00000251566	288
9606.ENSP00000360170	287
9606.ENSP00000221930	286
9606.ENSP00000243924	284
9606.ENSP00000272067	283
9606.ENSP00000405965	281
9606.ENSP00000438248	280
9606.ENSP00000233809	277
9606.ENSP00000362299	275
9606.ENSP00000468424	274
9606.ENSP00000228945	274
9606.ENSP00000325146	273
9606.ENSP00000233813	272
9606.ENSP00000271450	265
9606.ENSP00000367202	265
9606.ENSP00000241052	265
9606.ENSP00000349493	264
9606.ENSP00000458977	261
9606.ENSP00000161559	260
9606.ENSP00000331019	256
9606.ENSP00000414856	256
9606.ENSP00000274507	256
9606.ENSP00000254801	252
9606.ENSP00000367123	251
9606.ENSP00000339730	250
9606.ENSP00000259486	249
9606.ENSP00000479097	248
9606.ENSP00000322837	248
9606.ENSP00000379191	247
9606.ENSP00000309096	247
9606.ENSP00000310861	246
9606.ENSP00000258341	245
9606.ENSP00000265016	244
9606.ENSP00000363603	242
9606.ENSP00000358727	236
9606.ENSP00000322419	234
9606.ENSP00000401010	233
9606.ENSP00000342098	233
9606.ENSP00000263867	232
9606.ENSP00000339795	232
9606.ENSP00000453089	230
9606.ENSP00000446252	229
9606.ENSP00000286301	229
9606.ENSP00000435096	228
9606.ENSP00000371211	228
9606.ENSP00000381386	226
9606.ENSP00000270792	226
9606.ENSP00000352071	225
9606.ENSP00000300026	225
9606.ENSP00000064571	222
9606.ENSP00000438144	220
9606.ENSP00000271308	219
9606.ENSP00000394936	214
9606.ENSP00000349437	213
9606.ENSP00000371554	212
9606.ENSP00000408025	211
9606.ENSP00000342082	210
9606.ENSP00000357705	207
9606.ENSP00000484078	207
9606.ENSP00000234590	206
9606.ENSP00000330862	204
9606.ENSP00000358501	204
9606.ENSP00000484824	204
9606.ENSP00000078429	203
9606.ENSP00000310219	201
9606.ENSP00000347140	199
9606.ENSP00000361502	199
9606.ENSP00000432472	199
9606.ENSP00000474135	199
9606.ENSP00000299767	197
9606.ENSP00000474412	196
9606.ENSP00000361818	196
9606.ENSP00000360997	196
9606.ENSP00000257974	196
9606.ENSP00000275525	195
9606.ENSP00000345230	191
9606.ENSP00000311648	191
9606.ENSP00000265371	188
9606.ENSP00000037502	186
9606.ENSP00000336702	185
9606.ENSP00000437041	184
9606.ENSP00000376840	184
9606.ENSP00000312652	183
9606.ENSP00000338345	182
9606.ENSP00000376800	182
9606.ENSP00000225927	181
9606.ENSP00000348170	181
9606.ENSP00000217456	181
9606.ENSP00000480150	181
9606.ENSP00000327801	180
9606.ENSP00000366460	180
9606.ENSP00000361405	180
9606.ENSP00000385080	180
9606.ENSP00000261416	179
9606.ENSP00000330074	179
9606.ENSP00000346959	178
9606.ENSP00000237696	177
9606.ENSP00000262947	177
9606.ENSP00000229270	176
9606.ENSP00000360305	176
9606.ENSP00000348849	175
9606.ENSP00000002165	173
9606.ENSP00000402060	170
9606.ENSP00000344547	169
9606.ENSP00000378431	169
9606.ENSP00000400010	168
9606.ENSP00000221476	167
9606.ENSP00000277865	167
9606.ENSP00000263686	167
9606.ENSP00000379287	166
9606.ENSP00000339477	165
9606.ENSP00000211998	165
9606.ENSP00000313437	164
9606.ENSP00000359077	164
9606.ENSP00000370542	164
9606.ENSP00000215909	164
9606.ENSP00000381057	163
9606.ENSP00000307786	161
9606.ENSP00000246006	161
9606.ENSP00000321259	160
9606.ENSP00000353720	160
9606.ENSP00000418081	159
9606.ENSP00000295408	158
9606.ENSP00000345672	158
9606.ENSP00000354532	154
9606.ENSP00000418112	154
9606.ENSP00000288135	154
9606.ENSP00000433999	153
9606.ENSP00000276692	152
9606.ENSP00000431254	152
9606.ENSP00000217131	150
9606.ENSP00000270625	150
9606.ENSP00000451112	149
9606.ENSP00000333298	149
9606.ENSP00000261479	149
9606.ENSP00000360635	148
9606.ENSP00000349687	145
9606.ENSP00000307199	145
9606.ENSP00000357712	144
9606.ENSP00000345229	143
9606.ENSP00000339095	143
9606.ENSP00000346088	142
9606.ENSP00000481450	142
9606.ENSP00000362937	139
9606.ENSP00000359539	139
9606.ENSP00000262455	138
9606.ENSP00000370698	138
9606.ENSP00000335397	138
9606.ENSP00000216968	138
9606.ENSP00000322323	137
9606.ENSP00000250495	137
9606.ENSP00000362308	137
9606.ENSP00000357981	136
9606.ENSP00000256404	135
9606.ENSP00000296370	135
9606.ENSP00000311313	135
9606.ENSP00000361562	135
9606.ENSP00000296694	134
9606.ENSP00000215912	133
9606.ENSP00000256104	132
9606.ENSP00000335024	132
9606.ENSP00000419000	132
9606.ENSP00000386604	131
9606.ENSP00000478024	131
9606.ENSP00000242140	131
9606.ENSP00000379350	130
9606.ENSP00000479586	130
9606.ENSP00000361883	129
9606.ENSP00000357055	128
9606.ENSP00000430598	128
9606.ENSP00000478767	128
9606.ENSP00000297258	128
9606.ENSP00000394316	128
9606.ENSP00000234313	127
9606.ENSP00000353582	127
9606.ENSP00000287097	125
9606.ENSP00000311502	125
9606.ENSP00000380855	124
9606.ENSP00000332449	124
9606.ENSP00000333666	122
9606.ENSP00000327255	121
9606.ENSP00000385923	121
9606.ENSP00000269195	119
9606.ENSP00000262030	119
9606.ENSP00000362924	117
9606.ENSP00000365663	116
9606.ENSP00000385720	116
9606.ENSP00000342026	116
9606.ENSP00000262120	116
9606.ENSP00000261483	115
9606.ENSP00000440485	115
9606.ENSP00000339001	114
9606.ENSP00000353408	114
9606.ENSP00000351108	113
9606.ENSP00000295834	112
9606.ENSP00000358853	111
9606.ENSP00000278927	111
9606.ENSP00000283296	111
9606.ENSP00000355180	110
9606.ENSP00000360124	110
9606.ENSP00000380679	109
9606.ENSP00000215743	109
9606.ENSP00000353025	109
9606.ENSP00000307889	108
9606.ENSP00000264474	107
9606.ENSP00000367817	107
9606.ENSP00000355632	107
9606.ENSP00000386443	107
9606.ENSP00000271638	107
9606.ENSP00000269141	106
9606.ENSP00000384262	106
9606.ENSP00000400906	106
9606.ENSP00000447006	106
9606.ENSP00000372313	105
9606.ENSP00000335153	105
9606.ENSP00000394720	104
9606.ENSP00000356917	104
9606.ENSP00000248553	102
9606.ENSP00000380489	102
9606.ENSP00000219454	102
9606.ENSP00000295633	102
9606.ENSP00000357425	101
9606.ENSP00000274793	100
9606.ENSP00000238875	100
9606.ENSP00000371420	100
9606.ENSP00000416066	99.7
9606.ENSP00000264265	99.4
9606.ENSP00000439012	99.2
9606.ENSP00000371958	99.2
9606.ENSP00000376911	98.6
9606.ENSP00000445052	98.1
9606.ENSP00000480322	98.0
9606.ENSP00000369055	97.9
9606.ENSP00000225171	97.7
9606.ENSP00000321856	97.7
9606.ENSP00000426455	97.6
9606.ENSP00000303634	97.3
9606.ENSP00000361400	97.2
9606.ENSP00000296930	96.6
9606.ENSP00000296435	96.5
9606.ENSP00000393312	95.8
9606.ENSP00000442600	95.2
9606.ENSP00000382731	95.0
9606.ENSP00000228740	94.3
9606.ENSP00000291527	94.2
9606.ENSP00000264833	93.7
9606.ENSP00000160262	93.6
9606.ENSP00000223321	93.4
9606.ENSP00000379762	93.2
9606.ENSP00000303366	92.9
9606.ENSP00000327070	92.2
9606.ENSP00000341198	91.8
9606.ENSP00000274368	91.8
9606.ENSP00000330382	91.6
9606.ENSP00000369609	91.5
9606.ENSP00000284322	91.3
9606.ENSP00000229239	91.3
9606.ENSP00000356581	91.2
9606.ENSP00000316042	91.1
9606.ENSP00000264595	90.3
9606.ENSP00000256682	90.3
9606.ENSP00000338703	90.2
9606.ENSP00000373364	90.0
9606.ENSP00000360423	90.0
