#id: 3053857823
#name: H.sapiens - Gallbladder (Integrated)
#score: 26.8
#coverage: 58
#description: integrated dataset: weighted average of all H.sapiens GALLBLADDER: 26.8, Coverage: 58
#organ: GALLBLADDER
#integrated: true
#weights: Adult_Gallbladder_Kim_2014_SEQUEST:0.455;gall_bladder_Wilhelm_2014_Maxquant:0.455;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Gallbladder:0.091;
#publication_year: 2023
#filename: 9606-GALLBLADDER-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000379287	1115
9606.ENSP00000304592	1110
9606.ENSP00000343924	1108
9606.ENSP00000325527	1081
9606.ENSP00000335153	1079
9606.ENSP00000378360	1076
9606.ENSP00000216780	1067
9606.ENSP00000298510	1065
9606.ENSP00000366109	1062
9606.ENSP00000265395	1060
9606.ENSP00000422607	1059
9606.ENSP00000428895	1058
9606.ENSP00000225964	1056
9606.ENSP00000273450	1056
9606.ENSP00000325240	1049
9606.ENSP00000385828	1047
9606.ENSP00000309830	1044
9606.ENSP00000341625	1029
9606.ENSP00000255040	1022
9606.ENSP00000379512	1019
9606.ENSP00000297848	1005
9606.ENSP00000339191	1005
9606.ENSP00000216121	997
9606.ENSP00000273550	991
9606.ENSP00000246069	972
9606.ENSP00000237014	971
9606.ENSP00000381607	967
9606.ENSP00000325136	963
9606.ENSP00000378972	957
9606.ENSP00000427687	954
9606.ENSP00000246662	950
9606.ENSP00000289004	948
9606.ENSP00000448785	947
9606.ENSP00000358727	936
9606.ENSP00000345672	934
9606.ENSP00000307940	931
9606.ENSP00000313432	927
9606.ENSP00000243997	926
9606.ENSP00000341289	924
9606.ENSP00000271638	922
9606.ENSP00000346173	921
9606.ENSP00000479488	910
9606.ENSP00000260447	906
9606.ENSP00000247461	905
9606.ENSP00000346921	904
9606.ENSP00000359991	902
9606.ENSP00000299299	899
9606.ENSP00000356671	895
9606.ENSP00000168216	895
9606.ENSP00000270792	894
9606.ENSP00000216605	890
9606.ENSP00000296658	887
9606.ENSP00000452762	886
9606.ENSP00000260599	886
9606.ENSP00000298159	882
9606.ENSP00000286091	872
9606.ENSP00000231887	867
9606.ENSP00000391481	867
