#id: 4249701353
#name: H.sapiens - Cell line, Lncap (Geiger,mcp,2012)
#score: 16.1
#description: abundance based on MAPPED_BY_AUTHORS, LnCap, Interaction consistency score: 16.1, Coverage: 36
#organ: CELL_LINE
#integrated: false
#coverage: 36
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-iBAQ_LnCap_Geiger_2012_uniprot.txt
#
#string_external_id	abundance
9606.ENSP00000414321	211
9606.ENSP00000225698	211
9606.ENSP00000363041	211
9606.ENSP00000479606	211
9606.ENSP00000478828	211
9606.ENSP00000264279	211
9606.ENSP00000481646	211
9606.ENSP00000085068	211
9606.ENSP00000325136	210
9606.ENSP00000482639	210
9606.ENSP00000370023	210
9606.ENSP00000216218	210
9606.ENSP00000295688	210
9606.ENSP00000466134	210
9606.ENSP00000287295	210
9606.ENSP00000258962	210
9606.ENSP00000219169	210
9606.ENSP00000216500	210
9606.ENSP00000300413	210
9606.ENSP00000247461	210
9606.ENSP00000310226	210
9606.ENSP00000258424	210
9606.ENSP00000338413	210
9606.ENSP00000054950	210
9606.ENSP00000363899	210
9606.ENSP00000307241	210
9606.ENSP00000306010	210
9606.ENSP00000369538	210
9606.ENSP00000219252	210
9606.ENSP00000225972	210
9606.ENSP00000225576	209
9606.ENSP00000353826	209
9606.ENSP00000378394	209
9606.ENSP00000275428	209
9606.ENSP00000400433	209
9606.ENSP00000296674	209
9606.ENSP00000372326	209
9606.ENSP00000271308	209
9606.ENSP00000350708	209
9606.ENSP00000343885	209
9606.ENSP00000377446	209
9606.ENSP00000275603	209
9606.ENSP00000379563	209
9606.ENSP00000387710	209
9606.ENSP00000271638	209
9606.ENSP00000306362	209
9606.ENSP00000236959	209
9606.ENSP00000286371	209
9606.ENSP00000296255	209
9606.ENSP00000215567	209
9606.ENSP00000313432	209
9606.ENSP00000296511	209
9606.ENSP00000359910	209
9606.ENSP00000286788	209
9606.ENSP00000383392	209
9606.ENSP00000261735	209
9606.ENSP00000262947	208
9606.ENSP00000385385	208
9606.ENSP00000371230	208
